master_utterance_id,dialogue_id,speaker,utterance,utterance_intent,grounding_modality
10_2_U104,10_2,S,Heatmap of county type vs elderly population  colored by num counties,NS,na
10_2_U105,10_2,U2,okay Very high always in the rural.,N,na
10_2_U106,10_2,U2,"So overall I think that the rural Yeah, is the I don't know, is there  a parameter that help us to understand the COVID-19 outbreaks uh ",N,na
10_2_U107,10_2,U1,because there is the more at risk.,N,na
10_2_U108,10_2,U2,"Yeah, with a very high elderly percentage and less access to doctors.",N,na
10_2_U109,10_2,U1,"Less access to doctor, yes.",N,na
10_2_U110,10_2,U2,And also uh high social vulnerability high social vulnerability rank.,N,na
10_2_U111,10_2,U1,Uh what else can we try?,N,na
10_2_U112,10_2,U2,Uh maybe we have to to understand in which part of US there's rural uh ,Vis,na
10_2_U113,10_2,U1,"Oh, we have those. Like uh the green ones.",N,na
10_2_U114,10_2,S,Map of region,NS,na
10_2_U115,10_2,U1,"And this is the map of region, but I want to understand we should also cross the like illnesses like diabetes and see if there's more in uh in an elderly now in rural areas.",Vis,na
10_2_U116,10_2,U2,Well Okay.,N,na
10_2_U117,10_2,U2,Uh can we see a map of the combination of elderly percentage and diabetes illness?,VR,na
10_2_U118,10_2,U2,Uh can we see a map of the combination uh diabetes and elderly percentage?,N,na
10_2_U119,10_2,S,Map of diabetes risk.,NS,na
10_2_U120,10_2,U1,"Yeah, just diabetes.",N,na
10_2_U121,10_2,U2,Um Maybe it's the diabetes and uh county type.,Vis,na
10_2_U122,10_2,U1,Yeah.,N,na
10_2_U123,10_2,U2,Uh can we see a map of the combination of county type and diabetes rate?,VR,na
10_2_U124,10_2,S,Heatmap of county type vs diabetes rate  colored by num counties,NS,na
10_2_U125,10_2,U2,"Yeah, always the rural.",N,na
10_2_U126,10_2,U1,"Even it's versus the number of counties and there's definitely more counties that are rural, so I don't know how to interpret the data.",N,na
10_2_U127,10_2,U2,"Yeah So of course, so but I think that ",N,na
10_2_U128,10_2,S,Map of county type,NS,na
10_2_U129,10_2,U1,"I think that um the because if you just if we're just counting the counties, of course they're more at risk.",N,na
10_2_U130,10_2,U2,"Yeah, but because there's more rural counties.",N,na
10_2_U131,10_2,U1,Um maybe we should try like I don't know.,N,na
10_2_U132,10_2,U2,Maybe we can try like um can we see a map of elderly percentage people in Midwest?,Vis,na
10_2_U133,10_2,U2,I don't know if it works.,N,na
10_2_U134,10_2,U2,"Maybe if we are more focused in a in a region, we can better understand.",Vis,na
10_2_U135,10_2,U1,"Yeah, we were talking about the Southeast, so we should focus on the Southeast.",Vis,na
10_2_U136,10_2,U2,Okay.,N,na
10_2_U137,10_2,U2,Um Can we see a map of elderly percentage and county type in Southeast?,VR,na
10_2_U138,10_2,S,Map of county type,NS,na
10_2_U139,10_2,U1,Uh can we see a map of the combination uh elderly people and county type in the Southeast?,VR,na
10_2_U140,10_2,U2,"No, okay",N,na
10_2_U141,10_2,U1,I don't know how to ask him.,N,na
10_2_U142,10_2,U1,"Oh, maybe let's try something simpler like county type in the Southeast.",Vis,na
10_2_U143,10_2,U2,Okay.,N,na
10_2_U144,10_2,U2,Uh can you show a map of county type in Southeast?,VR,na
10_2_U145,10_2,S,Map of county type filtered by southeast,NS,na
10_2_U146,10_2,U1,Okay.,N,na
10_2_U147,10_2,U1,This works.,N,na
10_2_U148,10_2,U1,"Oh, let's try the county type in the Southeast uh I don't know.",Vis,na
10_2_U149,10_2,U1,elderly percentage.,VR,na
10_2_U150,10_2,U1,What else can we add?,N,na
10_2_U151,10_2,U2,Yes.,N,na
10_2_U152,10_2,U2,Uh do you have a map of county type in Southeast and elderly percentage people?...,VR,na
10_2_U153,10_2,U1,Uh can we see a map of the Southeast of the county type and the elderly percentage?,VR,na
10_2_U154,10_2,U1,Um Can I see uh a map of the county type filtered by Southeast and grouped by uh elderly percentage?,VR,na
10_2_U155,10_2,S,Map of county type,NS,na
10_2_U156,10_2,U2,Maybe we have to understand with this maps.,N,na
10_2_U157,10_2,U1,Uh Try simple ones.,N,na
10_2_U158,10_2,U2,Yeah.,N,na
10_2_U159,10_2,U2,Okay.,N,na
10_2_U160,10_2,U1,So what else can we see in the Southeast?,N,na
10_2_U161,10_2,U1,Uh can we see a map of Covid risk in the Southeast?,Vis,na
10_2_U162,10_2,U2,Maybe louder.,N,na
10_2_U163,10_2,U1,I don't know how to do.,N,na
10_2_U164,10_2,U2,Uh can we see a map of Covid vulnerability rank in Southeast?,VR,na
10_2_U165,10_2,U1,"Oh, can we see uh a map of Covid vulnerability rank uh and Southeast?",VR,na
10_2_U166,10_2,U1,We're saying combination before.,N,na
10_2_U167,10_2,U1,Maybe combination.,N,na
10_2_U168,10_2,U2,Can we see a map of combination of Covid vulnerability rank and Southeast?,VR,na
10_2_U169,10_2,U1,Okay.,N,na
10_2_U170,10_2,U1,Uh Can we see a map of the combination Covid vulnerability risk and uh in the Southeast?,VR,na
10_2_U171,10_2,S,Map of covid vulnerability rank filtered by southeast,NS,na
10_2_U172,10_2,U1,Okay.,N,na
10_2_U173,10_2,U1,"Yeah, so there's definitely uh yeah, Covid vulnerability risk as we were saying before in this area.",N,na
10_2_U174,10_2,U2,"Yeah, also because uh in the Southeast there is a lot of rural areas.",N,na
10_2_U175,10_2,U1,"Yeah, but there's also a lot of cities in.",N,na
10_2_U176,10_2,U2,Yes.,N,na
10_2_U177,10_2,U1,Like if you compare the Southeast to other regions.,N,na
10_2_U178,10_2,U1,"I don't know, what can we ask?",N,na
10_2_U179,10_2,U1,"Uh maybe we can see the Oh, can we see uh a map of the combination uh diabetes rate and cardiovascular disease rate?",Vis,na
10_2_U180,10_2,S,heatmap of cardiovascular disease vs diabetes rate colored by num counties,NS,na
10_2_U181,10_2,U1,"So Yeah, very high diabetes and very high cardiovascular rate.",N,na
10_2_U182,10_2,U2,I agree.,N,na
10_2_U183,10_2,U1,Okay.,N,na
10_2_U184,10_2,U1,Yes.,N,na
10_2_U185,10_2,U2,Like also very low.,N,na
10_2_U186,10_2,U1,Mhm.,N,na
10_2_U187,10_2,U1,But in general there seems to be like a trend.,N,na
10_2_U188,10_2,U1,Yes.,N,na
10_2_U189,10_2,U2,Seems to be correlated the two disease.,N,na
10_2_U190,10_2,U2,So we saw that cardiovascular disease and diabetes were uh more present in Southeast region.,N,na
10_2_U191,10_2,U1,Uh can we see uh a map of the combination cardiovascular disease rate in the Southeast?,VR,na
10_2_U192,10_2,S,Map of cardiovasuclar disease rate filtered by southeast,NS,na
10_2_U193,10_2,U2,Uh it's very high.,N,na
10_2_U194,10_2,U1,Yeah.,N,na
10_2_U195,10_2,U1,It's very so in the diabetes I can ask.,N,na
10_2_U196,10_2,U2,Uh and uh where where was Covid here?,N,na
10_2_U197,10_2,U1,"Yeah, Covid vulnerability.",N,na
10_2_U198,10_2,U2,Uh can I see a heat map chart of Covid vulnerability and cardiovascular disease rate?,VR,na
10_2_U199,10_2,S,heatmap of cardiovascular disease vs covid vulnerability rank colored by num counties,NS,na
10_2_U200,10_2,U1,"Oh, it works.",N,na
10_2_U201,10_2,U2,So also Okay.,N,na
10_2_U202,10_2,U1,"Yeah, there is also like very high cardiovascular disease and very high Covid vulnerability.",N,na
10_2_U203,10_2,U2,They agree.,N,na
10_2_U204,10_2,U1,Because we we're saying before diabetes is a risk factor.,N,na
10_2_U205,10_2,U1,But like there seems to be more of a correlation the cardiovascular and diabetes of course.,N,na
10_2_U206,10_2,U2,Yes.,N,na
10_2_U207,10_2,U2,So I think that uh also also in this case uh Southeast is an important region that determine in the the ,N,na
10_2_U208,10_2,U1,I can try again the elderly percentage.,N,na
10_2_U209,10_2,U1,Uh can we see a map of the combination uh county type and elderly percentage?,VR,na
10_2_U210,10_2,U1,"No, that doesn't work.",N,na
12_1_U1,12_1,U1,"Okay, so what do you want to do first?",N,na
12_1_U2,12_1,U1,"Are you want do you want to think about talk about poverty, diabetes?",N,na
12_1_U3,12_1,U2,Maybe about COVID first.,Vis,na
12_1_U4,12_1,U1,"Okay, cool.",N,na
12_1_U5,12_1,U2,Map of Diabetes rate,VR,na
12_1_U6,12_1,U1,Okay  So that's,N,na
12_1_U7,12_1,U2, uh how about COVID?,Vis,na
12_1_U8,12_1,U1,"Yeah, you can just go ahead, do it. COVID in rural area, maybe?",Vis,na
12_1_U9,12_1,U2,"Arti, can you hear us?",N,na
12_1_U10,12_1,U2,Can you generate COVID at rural areas?,CR,K
12_1_U11,12_1,S,Bar chart of county type vs num counties colored by covid vulnerability rank,NS,na
12_1_U12,12_1,U1,"Arti, can we get a chart for poverty in Midwest?",VR,na
12_1_U13,12_1,U2,"How about poverty chart, Arti?",VR,na
12_1_U14,12_1,U1,Cardiovascular diseases in suburb?,VR,na
12_1_U15,12_1,S,Map of Cardiovascular disease rate,NS,na
12_1_U16,12_1,U2,"So, do you see like why there's a difference between these two?",N,na
12_1_U17,12_1,U2,"Like, you know, the diabetics and the cardiovascular and, you know, when it comes to COVID, I think we asked for the same thing, right?",N,na
12_1_U18,12_1,U1,"So, can we do it for a small city or town?",Vis,na
12_1_U19,12_1,U1,Can we name it Chicago?,N,na
12_1_U20,12_1,U1,"COVID charts for Chicago, Arti?",VR,na
12_1_U21,12_1,U2,COVID chart for Chicago?,VR,na
12_1_U22,12_1,S,Map of covid vulnerability rank,NS,na
12_1_U23,12_1,U1,Is it in Chicago?,CR,V
12_1_U24,12_1,U2,"No, it's the US.",N,na
12_1_U25,12_1,U1,So chart for uninsured?,Vis,na
12_1_U26,12_1,U1,Do you want the next?,N,na
12_1_U27,12_1,U2,"So okay, Can we discuss about like how are we planning to, you know, come up with what regions and areas are we going to decide on?",N,na
12_1_U28,12_1,U1,"okay For the COVID risk, we can go from urban, suburb, rural, and small town.",Vis,na
12_1_U29,12_1,U2,Okay.,N,na
12_1_U30,12_1,U1,So first we we can try it for suburb.,N,na
12_1_U31,12_1,U1,COVID risk urban areas?,Vis,na
12_1_U32,12_1,U2,"I think we see this, right?",N,na
12_1_U33,12_1,U2,It has already given us the COVID uh for small city.,N,na
12_1_U34,12_1,U1,It is.,N,na
12_1_U35,12_1,U2,"Rural, suburb, urban.",N,na
12_1_U36,12_1,U1,"Can we get a poverty chart, Arti?",VR,na
12_1_U37,12_1,U2,But how do you see the difference between this chart and like the other charts?,CR,V
12_1_U38,12_1,U1,"There's no difference between like, you know, I'm not able to understand the fact.",N,na
12_1_U39,12_1,U2,"Look at the school, a little bit on the right, you can see it.",N,na
12_1_U40,12_1,U2,"Yeah, but then like what is the difference between these charts?",CR,V
12_1_U41,12_1,U2,Like what is it trying to say?,CR,V
12_1_U42,12_1,U1,Like 400 people are infected and if a chart might be related to the chart that's done over there.,N,na
12_1_U43,12_1,U2,"I think it's for like when it comes to COVID, the rural areas are affected the most.",N,na
12_1_U44,12_1,U2,Right.,N,na
12_1_U45,12_1,U2,And then comes the uh small city and then suburb.,N,na
12_1_U46,12_1,U1,But they have different charts for ,N,na
12_1_U47,12_1,U2,"Yeah, it it it talks about high COVID vulnerability rank and low, moderate, very high.",N,na
12_1_U48,12_1,U1,And I think it's related to that chart over there on the bottom right corner.,N,na
12_1_U49,12_1,U1,Yeah.,N,na
12_1_U50,12_1,U2,And I think it's almost the same for all the other ranks as well.,N,na
12_1_U51,12_1,U1,"Hey Arti, can we get a chart for cardiovascular diseases in urban areas?",VR,na
12_1_U52,12_1,U1,Elderly population?,VR,na
12_1_U53,12_1,U2,"Poverty comparison for rural, urban, and suburban small cities?",VR,na
12_1_U54,12_1,U2,"Arti, can you generate the bar chart for poverty rate in US counties?",VR,na
12_1_U55,12_1,S,Map of poverty rate,NS,na
12_1_U56,12_1,U2,How about a bar chart for poverty rate?,Vis,na
12_1_U57,12_1,S,Map of poverty rate,NS,na
12_1_U58,12_1,U1,Is that the same chart?,CR,V
12_1_U59,12_1,U2,I'm just wondering how did we get this bar chart?,CR,K
12_1_U60,12_1,U1,Because I said ,N,na
12_1_U61,12_1,U2,What did you tell?,CR,A
12_1_U62,12_1,U1,"I just said COVID risk compare between urban, suburban, and rural areas.",N,na
12_1_U63,12_1,U2,That's why I said it.,N,na
12_1_U64,12_1,U1,How about trying it the same thing for the poverty?,Vis,na
12_1_U65,12_1,U1,That's why I tried it for elderly percentage who are uninsured....,Vis,na
12_1_U66,12_1,U1,Or you can just go for diabetes.,Vis,na
12_1_U67,12_1,U2,Can we have a bar chart for diabetics?,VR,na
12_1_U68,12_1,U1,We already got it.,N,na
12_1_U69,12_1,S,Map of Diabetes rate,NS,na
12_1_U70,12_1,U2,How about a bar chart?,Vis,na
12_1_U71,12_1,U1,Bar chart comparison for diabetes?,VR,na
12_1_U72,12_1,U1,We can just close it.,N,na
12_1_U73,12_1,U1,We can just close the poverty one too,N,na
12_1_U74,12_1,U1,"Not that, this one.",N,na
12_1_U75,12_1,U1,Okay.,N,na
12_1_U76,12_1,U2,Bar chart for uninsured?,VR,na
12_1_U77,12_1,U1,"Oh, I think it's insured.",N,na
12_1_U78,12_1,U2,Insured?,CR,A
12_1_U79,12_1,U1,Yes.,N,na
12_1_U80,12_1,U2,Uninsured?,CR,A
12_1_U81,12_1,U1,"Oh, sorry.",N,na
12_1_U82,12_1,U2,Why don't we just use the term not covered by insurance?,N,na
12_1_U83,12_1,U1,Will Arti recognize it?,N,na
12_1_U84,12_1,U2,Not covered by insurance?,N,na
12_1_U85,12_1,U1,"Yeah, maybe you can try that.",N,na
12_1_U86,12_1,U2,You want to try it?,N,na
12_1_U87,12_1,U1,"Yeah, sure.",N,na
12_1_U88,12_1,U1,"Hey Arti, can we get a chart for insurance?",VR,na
12_1_U89,12_1,U1,Can we get a chart for elderly people who are uninsured?,VR,na
12_1_U90,12_1,U1,Am I not loud enough?,CR,K
12_1_U91,12_1,U1,Can you generate a bar chart for access to doctors in US counties?,VR,na
12_1_U92,12_1,S,Bar chart for access to doctor vs num counties colored by county type,NS,na
12_1_U93,12_1,U1,I'll take over the mouse for a second.,N,na
12_1_U94,12_1,U2,"Okay, sure.",N,na
12_1_U95,12_1,U1,Doctors has enough coverage.,N,na
12_1_U96,12_1,U1,So it is generating when you said about bar chart about doctors and county type.,N,na
12_1_U97,12_1,U1,Can we try it for uninsured?,Vis,na
12_1_U98,12_1,U1,Can we get a bar chart of uninsured in the county by county type?,VR,na
12_1_U99,12_1,U2,"Uh, can we have a bar chart for cardiovascular diseases?",VR,na
12_1_U100,12_1,S,Map of Cardiovascular disease rate,NS,na
12_1_U101,12_1,U1,Isn't that the same as the first one?,CR,V
12_1_U102,12_1,U2,"Yeah, it's the same one.",N,na
12_1_U103,12_1,U1,"But we can generate bar charts for the doctors, but we couldn't generate bar charts for the cardiovascular diseases.",Vis,na
12_1_U104,12_1,U1,Can we get a bar chart for cardiovascular diseases in urban areas?,VR,na
12_1_U105,12_1,U1,Maybe it doesn't have the data set that relates to this.,N,na
12_1_U106,12_1,U2,And also a comparison about that.,N,na
12_1_U107,12_1,U2,It's not able to generate a comparison.,N,na
12_1_U108,12_1,U2,"Uh, bar chart for elderly population?",VR,na
12_1_U109,12_1,U2,Can you generate a bar chart for elderly population?,VR,na
12_1_U110,12_1,U2,How about we use these keywords here?,N,na
12_1_U111,12_1,U1,Arti doesn't have any specific type of keywords that we need to use.,N,na
12_1_U112,12_1,U1,Very low elderly percentage?,VR,na
12_1_U113,12_1,U2,"Bar chart for elderly percentage, Arti?",VR,na
12_1_U114,12_1,U1,Maybe we need to use poverty.,Vis,na
12_1_U115,12_1,U2,Poverty very low elderly percentage?,VR,na
12_1_U116,12_1,S,Map of elderly percentage,NS,na
12_1_U117,12_1,U1,Can you click on the access to doctors one?,N,na
12_1_U118,12_1,U1,"Hey Arti, uh, can we get a bar chart for moderate access to doctors?",VR,na
12_1_U119,12_1,U1,Can we get a bar chart where doctors are not available?,VR,na
12_1_U120,12_1,U2,"Access to doctors bar chart visualization, please?",VR,na
12_1_U121,12_1,U1,Please?,N,na
12_1_U122,12_1,U1,"Okay, let's do this cardiovascular disease again.",Vis,na
12_1_U123,12_1,U1,Can you click on the city specific cardiovascular disease?,N,na
12_1_U124,12_1,U2,I'll click on this one?,CR,K
12_1_U125,12_1,U2,How about comparing?,N,na
12_1_U126,12_1,U1,Bar chart access to doctors?,CR,A
12_1_U127,12_1,U1,Can I can I just take over the mouse for a second?,N,na
12_1_U128,12_1,U1,"This is the doctor's one, right?",CR,V
12_1_U129,12_1,U1,It's not working.,N,na
12_1_U130,12_1,U1,"So but we got a graph for doctors, but we didn't get a top chart for uninsured people.",Vis,na
12_1_U131,12_1,U2,"Uninsured bar chart visualization, Arti?",VR,na
12_1_U132,12_1,U2,Can we get a bar chart for uninsured visualization?,VR,na
12_1_U133,12_1,U2,Can we get a bar chart visualization for uninsured rates?,VR,na
12_1_U134,12_1,U1,Can we get a poverty rate?,VR,na
12_1_U135,12_1,S,Map of uninsured rate,NS,na
12_1_U136,12_1,U1,"It is hearing, but sometimes it stops.",N,na
12_1_U137,12_1,U2,I think we need to uh frame it properly.,N,na
12_1_U138,12_1,U1,What did you just say?,CR,A
12_1_U139,12_1,U2,"So I said, can we have a bar chart visualization for uninsured rate?",N,na
12_1_U140,12_1,U1,Can we have a bar chart visualization?,CR,A
12_1_U141,12_1,S,I have one chart for you....,NS,na
12_1_U142,12_1,U1,Can we have a bar chart visualization for cardiovascular diseases?,VR,na
12_1_U143,12_1,U2,Can we have a bar chart for diabetics uh rate?,VR,na
12_1_U144,12_1,U2,Diabetes rate?,VR,na
12_1_U145,12_1,U1,"Please, Arti.",N,na
12_1_U146,12_1,U2,Can we have a bar chart visualization for diabetes rate?,VR,na
12_1_U147,12_1,U1,Can we just mix and match?,CR,K
12_1_U148,12_1,S,Map of Diabetes rate,NS,na
12_1_U149,12_1,U1,That is here.,N,na
12_1_U150,12_1,U2,I think we got for this.,N,na
12_1_U151,12_1,U1,Can we get a bar chart for bar chart comparing diabetics rate?,VR,na
12_1_U152,12_1,U1,Diabetes rate.,VR,na
12_1_U153,12_1,U1,Can we get a bar chart comparing diabetes rate?,VR,na
12_1_U154,12_1,U2,Can we have a bar chart visualization?,VR,na
12_1_U155,12_1,U1,"I think these two maps are different, isn't it?",CR,V
12_1_U156,12_1,U2,Yeah.,N,na
12_1_U157,12_1,U1,Can I get a mouse for a second?,N,na
12_1_U158,12_1,U1,Not on this one.,N,na
12_1_U159,12_1,U1,This isn't the same.,N,na
12_1_U160,12_1,U2,"Uh, can we have a bar chart visualization for uh for poverty?",VR,na
12_1_U161,12_1,U1,"We got a bar chart for map blah blah blah and I don't know how we got this twice, but this is a different one compared to this.",N,na
12_1_U162,12_1,U1,This is comparing between urban areas and rural areas and other other parts of the county.,N,na
12_1_U163,12_1,U2,Can we have a bar chart visualization for uh uninsured?,VR,na
12_1_U164,12_1,U1,Can we get a county type comparison for uninsured?,VR,na
12_1_U165,12_1,S,Map of county type,NS,na
12_1_U166,12_1,U2,"Oh, it's here.",N,na
12_1_U167,12_1,U1,It is just a map of county.,N,na
12_1_U168,12_1,U2,"Yeah, I think this will be helpful for us to compare.",N,na
12_1_U169,12_1,U2,"This is the other maps, you know, uh because we know where the small cities are, where the rural, suburb, and urban are.",N,na
12_1_U170,12_1,U2,I don't think so it's going to generate the bar chart comparison anymore.,N,na
12_1_U171,12_1,U2,I think it majorly has the US county map visualization.,N,na
12_1_U172,12_1,U2,A spatial.,N,na
12_1_U173,12_1,U1,We can just mix and match the comparisons.,N,na
12_1_U174,12_1,U1,"So, let's just stop.",N,na
12_1_U175,12_1,U1,Let's try this.,N,na
12_1_U176,12_1,U1,Can we get a bar chart for Midwest rural very hard high poverty rate?,VR,na
12_1_U177,12_1,U2,I think we'll go about the task one first and then discuss the task two.,N,na
12_1_U178,12_1,U2,"I think we we got charts for everything, right?",N,na
12_1_U179,12_1,U1,But we didn't get the charts for the comparison for rural and suburb.,Vis,na
12_1_U180,12_1,U2,I think we need to do that because it's not going to generate.,N,na
12_1_U181,12_1,U1,I don't think so.,N,na
12_1_U182,12_1,U2,Can we have a bar chart visualization for uninsured rate?,VR,na
12_1_U183,12_1,S,Map of uninsured rate,NS,na
12_1_U184,12_1,U2,"So I think, you know, when you tell the exact keywords which is here, like uninsured rate, it is able to actually generate one.",N,na
12_1_U185,12_1,U1,So where do you want to prioritize resources for?,N,na
12_1_U186,12_1,U2,What?,CR,A
12_1_U187,12_1,U1,Where do you want to prioritize the resources for?,N,na
12_1_U188,12_1,U1,"And do you want it to poverty, diabetics?",N,na
12_1_U189,12_1,U1,"We'll discuss the comparison of the graph, we can compare it and generate the resources for every every disease that we have.",N,na
12_1_U190,12_1,U2,"Sorry, I didn't get you So we we already have this COVID?",CR,A
