utterance_id,utterance,speaker,utterance_intent,cr_directed_at,source_of_response,grounding_modality,group_id,task_id,__source,turn_index,dialogue_id,master_utterance_id,prev_speaker,prev_turn,prev2_turn,system_event,sys_to_user_transition
44,"Uh Ati, can I see a bar chart of Covid vulnerability rank plus urban areas?",U2,VR,na,na,na,10,2,group10_task2.xlsx,43,10_2,10_2_U44,S,Map of covid vulnerability rank,"Uh Ati, can I see a map of Covid vulnerability rank plus urban areas?",1,1
45,Map of covid vulnerability rank,S,NS,na,na,na,10,2,group10_task2.xlsx,44,10_2,10_2_U45,U2,"Uh Ati, can I see a bar chart of Covid vulnerability rank plus urban areas?",Map of covid vulnerability rank,0,0
46,Always Covid vulnerability rank.,U1,N,na,na,na,10,2,group10_task2.xlsx,45,10_2,10_2_U46,S,Map of covid vulnerability rank,"Uh Ati, can I see a bar chart of Covid vulnerability rank plus urban areas?",1,1
47,Um Uh can we see a map of combination of suburban areas and high Covid vulnerability rank?,U2,VR,na,na,na,10,2,group10_task2.xlsx,46,10_2,10_2_U47,U1,Always Covid vulnerability rank.,Map of covid vulnerability rank,0,0
48,What is not what is it?,U2,N,na,na,na,10,2,group10_task2.xlsx,47,10_2,10_2_U48,U2,Um Uh can we see a map of combination of suburban areas and high Covid vulnerability rank?,Always Covid vulnerability rank.,0,0
49,Uh a social vulnerability.,U1,VR,na,na,na,10,2,group10_task2.xlsx,48,10_2,10_2_U49,U2,What is not what is it?,Um Uh can we see a map of combination of suburban areas and high Covid vulnerability rank?,0,0
50,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,49,10_2,10_2_U50,U1,Uh a social vulnerability.,What is not what is it?,0,0
51,"Okay, but close.",U1,N,na,na,na,10,2,group10_task2.xlsx,50,10_2,10_2_U51,U1,Okay.,Uh a social vulnerability.,0,0
52,"Okay, so we cannot ask again.",U1,CR,System/User,I,K,10,2,group10_task2.xlsx,51,10_2,10_2_U52,U1,"Okay, but close.",Okay.,0,0
53,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,52,10_2,10_2_U53,U1,"Okay, so we cannot ask again.","Okay, but close.",0,0
54,Can I see a bar chart of county type versus uh the Covid vulnerability rank?,U1,VR,na,na,na,10,2,group10_task2.xlsx,53,10_2,10_2_U54,U1,Okay.,"Okay, so we cannot ask again.",0,0
55,How did you ask him this one?,U1,CR,User,I,V,10,2,group10_task2.xlsx,54,10_2,10_2_U55,U1,Can I see a bar chart of county type versus uh the Covid vulnerability rank?,Okay.,0,0
56,I don't remember.,U2,N,na,na,na,10,2,group10_task2.xlsx,55,10_2,10_2_U56,U1,How did you ask him this one?,Can I see a bar chart of county type versus uh the Covid vulnerability rank?,0,0
57,Do you have a map of a combination of county type and Covid vulnerability rank?,U2,CR,System/User,I,K,10,2,group10_task2.xlsx,56,10_2,10_2_U57,U2,I don't remember.,How did you ask him this one?,0,0
58,Heatmap of county type vs social vulnerability rank  colored by num counties,S,NS,na,na,na,10,2,group10_task2.xlsx,57,10_2,10_2_U58,U2,Do you have a map of a combination of county type and Covid vulnerability rank?,I don't remember.,0,0
59,"Oh, it's really maps.",U1,N,na,na,na,10,2,group10_task2.xlsx,58,10_2,10_2_U59,S,Heatmap of county type vs social vulnerability rank  colored by num counties,Do you have a map of a combination of county type and Covid vulnerability rank?,1,1
60,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,59,10_2,10_2_U60,U1,"Oh, it's really maps.",Heatmap of county type vs social vulnerability rank  colored by num counties,0,0
61,"Okay, so we see social vulnerability.",U2,N,na,na,na,10,2,group10_task2.xlsx,60,10_2,10_2_U61,U1,Okay.,"Oh, it's really maps.",0,0
62,But urban areas are always very vulnerable.,U1,N,na,na,na,10,2,group10_task2.xlsx,61,10_2,10_2_U62,U2,"Okay, so we see social vulnerability.",Okay.,0,0
63,"Yeah, but what do you think it is social vulnerability?",U2,CR,User,I,V,10,2,group10_task2.xlsx,62,10_2,10_2_U63,U1,But urban areas are always very vulnerable.,"Okay, so we see social vulnerability.",0,0
64,I don't know.,U1,N,na,na,na,10,2,group10_task2.xlsx,63,10_2,10_2_U64,U2,"Yeah, but what do you think it is social vulnerability?",But urban areas are always very vulnerable.,0,0
65,Yeah.,U1,N,na,na,na,10,2,group10_task2.xlsx,64,10_2,10_2_U65,U1,I don't know.,"Yeah, but what do you think it is social vulnerability?",0,0
66,I don't know if social vulnerability affects the Covid outbreaks.,U2,N,na,na,na,10,2,group10_task2.xlsx,65,10_2,10_2_U66,U1,Yeah.,I don't know.,0,0
67,"Okay, negative effects on communities.",U1,N,na,na,na,10,2,group10_task2.xlsx,66,10_2,10_2_U67,U2,I don't know if social vulnerability affects the Covid outbreaks.,Yeah.,0,0
68,Okay.,U2,N,na,na,na,10,2,group10_task2.xlsx,67,10_2,10_2_U68,U1,"Okay, negative effects on communities.",I don't know if social vulnerability affects the Covid outbreaks.,0,0
69,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,68,10_2,10_2_U69,U2,Okay.,"Okay, negative effects on communities.",0,0
70,Uh can we have a combination of urban areas and Covid risk?,U2,VR,na,na,na,10,2,group10_task2.xlsx,69,10_2,10_2_U70,U1,Okay.,Okay.,0,0
71,Uh can we see a map of county type versus um Covid risk?,U1,VR,na,na,na,10,2,group10_task2.xlsx,70,10_2,10_2_U71,U2,Uh can we have a combination of urban areas and Covid risk?,Okay.,0,0
72,"Uh okay, we can try other other combination maybe.",U2,N,na,na,na,10,2,group10_task2.xlsx,71,10_2,10_2_U72,U1,Uh can we see a map of county type versus um Covid risk?,Uh can we have a combination of urban areas and Covid risk?,0,0
73,Um Uh can I see any uh okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,72,10_2,10_2_U73,U2,"Uh okay, we can try other other combination maybe.",Uh can we see a map of county type versus um Covid risk?,0,0
74,Can I see a heat map of county type and uh Covid risk?,U1,VR,na,na,na,10,2,group10_task2.xlsx,73,10_2,10_2_U74,U1,Um Uh can I see any uh okay.,"Uh okay, we can try other other combination maybe.",0,0
75,Let's try something else like country type versus.,U1,Vis,na,na,na,10,2,group10_task2.xlsx,74,10_2,10_2_U75,U1,Can I see a heat map of county type and uh Covid risk?,Um Uh can I see any uh okay.,0,0
76,Yes.,U2,N,na,na,na,10,2,group10_task2.xlsx,75,10_2,10_2_U76,U1,Let's try something else like country type versus.,Can I see a heat map of county type and uh Covid risk?,0,0
77,"Oh, because we were saying combination before.",U1,N,na,na,na,10,2,group10_task2.xlsx,76,10_2,10_2_U77,U2,Yes.,Let's try something else like country type versus.,0,0
78,So maybe say combination.,U1,N,na,na,na,10,2,group10_task2.xlsx,77,10_2,10_2_U78,U1,"Oh, because we were saying combination before.",Yes.,0,0
79,Uh can I see a combination of county type and Covid risk?,U1,VR,na,na,na,10,2,group10_task2.xlsx,78,10_2,10_2_U79,U1,So maybe say combination.,"Oh, because we were saying combination before.",0,0
80,Maybe we cannot ask about Covid?,U2,CR,Sytem/User,I,K,10,2,group10_task2.xlsx,79,10_2,10_2_U80,U1,Uh can I see a combination of county type and Covid risk?,So maybe say combination.,0,0
81,He doesn't want us to show Covid.,U1,N,na,na,na,10,2,group10_task2.xlsx,80,10_2,10_2_U81,U2,Maybe we cannot ask about Covid?,Uh can I see a combination of county type and Covid risk?,0,0
82,Yeah.,U1,N,na,na,na,10,2,group10_task2.xlsx,81,10_2,10_2_U82,U1,He doesn't want us to show Covid.,Maybe we cannot ask about Covid?,0,0
83,Try uh Like maybe an insured rate.,U1,Vis,na,na,na,10,2,group10_task2.xlsx,82,10_2,10_2_U83,U1,Yeah.,He doesn't want us to show Covid.,0,0
84,"Yeah, or also access to doctors because uh maybe if uh you don't know how to I don't know.",U2,Vis,na,na,na,10,2,group10_task2.xlsx,83,10_2,10_2_U84,U1,Try uh Like maybe an insured rate.,Yeah.,0,0
85,Access  to doctors and and ?,U1,CR,User,I,A,10,2,group10_task2.xlsx,84,10_2,10_2_U85,U2,"Yeah, or also access to doctors because uh maybe if uh you don't know how to I don't know.",Try uh Like maybe an insured rate.,0,0
86,um I will say always uh county type.,U2,N,na,na,na,10,2,group10_task2.xlsx,85,10_2,10_2_U86,U1,Access  to doctors and and ?,"Yeah, or also access to doctors because uh maybe if uh you don't know how to I don't know.",0,0
87,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,86,10_2,10_2_U87,U2,um I will say always uh county type.,Access  to doctors and and ?,0,0
88,Uh do you have a map of the combination of county type and access to doctor?,U2,VR,na,na,na,10,2,group10_task2.xlsx,87,10_2,10_2_U88,U1,Okay.,um I will say always uh county type.,0,0
89,Heatmap of county type vs access to doctors  colored by num counties,S,NS,na,na,na,10,2,group10_task2.xlsx,88,10_2,10_2_U89,U2,Uh do you have a map of the combination of county type and access to doctor?,Okay.,0,0
90,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,89,10_2,10_2_U90,S,Heatmap of county type vs access to doctors  colored by num counties,Uh do you have a map of the combination of county type and access to doctor?,1,1
91,VR,U2,N,na,na,na,10,2,group10_task2.xlsx,90,10_2,10_2_U91,U1,Okay.,Heatmap of county type vs access to doctors  colored by num counties,0,0
92,"Okay, so very high access to doctor.",U1,N,na,na,na,10,2,group10_task2.xlsx,91,10_2,10_2_U92,U2,VR,Okay.,0,0
93,"Okay, rural.",U1,N,na,na,na,10,2,group10_task2.xlsx,92,10_2,10_2_U93,U1,"Okay, so very high access to doctor.",VR,0,0
94,"Yeah, always rural has some issues.",U2,N,na,na,na,10,2,group10_task2.xlsx,93,10_2,10_2_U94,U1,"Okay, rural.","Okay, so very high access to doctor.",0,0
95,Um small cities.,U2,N,na,na,na,10,2,group10_task2.xlsx,94,10_2,10_2_U95,U2,"Yeah, always rural has some issues.","Okay, rural.",0,0
96,Okay.,U1,N,na,na,na,10,2,group10_task2.xlsx,95,10_2,10_2_U96,U2,Um small cities.,"Yeah, always rural has some issues.",0,0
97,"It's like okay, which like like uh the fact is that rural has a very low access to doctor but also an high social vulnerability rank.",U2,N,na,na,na,10,2,group10_task2.xlsx,96,10_2,10_2_U97,U1,Okay.,Um small cities.,0,0
98,Yeah Also we can try the elderly percentage because maybe they live more in rural areas.,U1,Vis,na,na,na,10,2,group10_task2.xlsx,97,10_2,10_2_U98,U2,"It's like okay, which like like uh the fact is that rural has a very low access to doctor but also an high social vulnerability rank.",Okay.,0,0
99,Yeah.,U2,N,na,na,na,10,2,group10_task2.xlsx,98,10_2,10_2_U99,U1,Yeah Also we can try the elderly percentage because maybe they live more in rural areas.,"It's like okay, which like like uh the fact is that rural has a very low access to doctor but also an high social vulnerability rank.",0,0
100,Um can we see a map of the combination county type and elderly percentage?,U1,VR,na,na,na,10,2,group10_task2.xlsx,99,10_2,10_2_U100,U2,Yeah.,Yeah Also we can try the elderly percentage because maybe they live more in rural areas.,0,0
101,Should you should ask him?,U1,CR,User,I,K,10,2,group10_task2.xlsx,100,10_2,10_2_U101,U1,Um can we see a map of the combination county type and elderly percentage?,Yeah.,0,0
102,I'm sorry to you.,U2,N,na,na,na,10,2,group10_task2.xlsx,101,10_2,10_2_U102,U1,Should you should ask him?,Um can we see a map of the combination county type and elderly percentage?,0,0
103,Um Can we see a combination of elderly population and county type?,U2,VR,na,na,na,10,2,group10_task2.xlsx,102,10_2,10_2_U103,U2,I'm sorry to you.,Should you should ask him?,0,0
104,Heatmap of county type vs elderly population  colored by num counties,S,NS,na,na,na,10,2,group10_task2.xlsx,103,10_2,10_2_U104,U2,Um Can we see a combination of elderly population and county type?,I'm sorry to you.,0,0
105,okay Very high always in the rural.,U2,N,na,na,na,10,2,group10_task2.xlsx,104,10_2,10_2_U105,S,Heatmap of county type vs elderly population  colored by num counties,Um Can we see a combination of elderly population and county type?,1,1
106,"So overall I think that the rural Yeah, is the I don't know, is there  a parameter that help us to understand the COVID-19 outbreaks uh ",U2,N,na,na,na,10,2,group10_task2.xlsx,105,10_2,10_2_U106,U2,okay Very high always in the rural.,Heatmap of county type vs elderly population  colored by num counties,0,0
107,because there is the more at risk.,U1,N,na,na,na,10,2,group10_task2.xlsx,106,10_2,10_2_U107,U2,"So overall I think that the rural Yeah, is the I don't know, is there  a parameter that help us to understand the COVID-19 outbreaks uh ",okay Very high always in the rural.,0,0
108,"Yeah, with a very high elderly percentage and less access to doctors.",U2,N,na,na,na,10,2,group10_task2.xlsx,107,10_2,10_2_U108,U1,because there is the more at risk.,"So overall I think that the rural Yeah, is the I don't know, is there  a parameter that help us to understand the COVID-19 outbreaks uh ",0,0
109,"Less access to doctor, yes.",U1,N,na,na,na,10,2,group10_task2.xlsx,108,10_2,10_2_U109,U2,"Yeah, with a very high elderly percentage and less access to doctors.",because there is the more at risk.,0,0
110,And also uh high social vulnerability high social vulnerability rank.,U2,N,na,na,na,10,2,group10_task2.xlsx,109,10_2,10_2_U110,U1,"Less access to doctor, yes.","Yeah, with a very high elderly percentage and less access to doctors.",0,0
111,Uh what else can we try?,U1,N,na,na,na,10,2,group10_task2.xlsx,110,10_2,10_2_U111,U2,And also uh high social vulnerability high social vulnerability rank.,"Less access to doctor, yes.",0,0
112,Uh maybe we have to to understand in which part of US there's rural uh ,U2,Vis,na,na,na,10,2,group10_task2.xlsx,111,10_2,10_2_U112,U1,Uh what else can we try?,And also uh high social vulnerability high social vulnerability rank.,0,0
113,"Oh, we have those. Like uh the green ones.",U1,N,na,na,na,10,2,group10_task2.xlsx,112,10_2,10_2_U113,U2,Uh maybe we have to to understand in which part of US there's rural uh ,Uh what else can we try?,0,0
114,Map of region,S,NS,na,na,na,10,2,group10_task2.xlsx,113,10_2,10_2_U114,U1,"Oh, we have those. Like uh the green ones.",Uh maybe we have to to understand in which part of US there's rural uh ,0,0
115,"And this is the map of region, but I want to understand we should also cross the like illnesses like diabetes and see if there's more in uh in an elderly now in rural areas.",U1,Vis,na,na,na,10,2,group10_task2.xlsx,114,10_2,10_2_U115,S,Map of region,"Oh, we have those. Like uh the green ones.",1,1
116,Well Okay.,U2,N,na,na,na,10,2,group10_task2.xlsx,115,10_2,10_2_U116,U1,"And this is the map of region, but I want to understand we should also cross the like illnesses like diabetes and see if there's more in uh in an elderly now in rural areas.",Map of region,0,0
117,Uh can we see a map of the combination of elderly percentage and diabetes illness?,U2,VR,na,na,na,10,2,group10_task2.xlsx,116,10_2,10_2_U117,U2,Well Okay.,"And this is the map of region, but I want to understand we should also cross the like illnesses like diabetes and see if there's more in uh in an elderly now in rural areas.",0,0
118,Uh can we see a map of the combination uh diabetes and elderly percentage?,U2,N,na,na,na,10,2,group10_task2.xlsx,117,10_2,10_2_U118,U2,Uh can we see a map of the combination of elderly percentage and diabetes illness?,Well Okay.,0,0
119,Map of diabetes risk.,S,NS,na,na,na,10,2,group10_task2.xlsx,118,10_2,10_2_U119,U2,Uh can we see a map of the combination uh diabetes and elderly percentage?,Uh can we see a map of the combination of elderly percentage and diabetes illness?,0,0
120,"Yeah, just diabetes.",U1,N,na,na,na,10,2,group10_task2.xlsx,119,10_2,10_2_U120,S,Map of diabetes risk.,Uh can we see a map of the combination uh diabetes and elderly percentage?,1,1
121,Um Maybe it's the diabetes and uh county type.,U2,Vis,na,na,na,10,2,group10_task2.xlsx,120,10_2,10_2_U121,U1,"Yeah, just diabetes.",Map of diabetes risk.,0,0
122,Yeah.,U1,N,na,na,na,10,2,group10_task2.xlsx,121,10_2,10_2_U122,U2,Um Maybe it's the diabetes and uh county type.,"Yeah, just diabetes.",0,0
123,Uh can we see a map of the combination of county type and diabetes rate?,U2,VR,na,na,na,10,2,group10_task2.xlsx,122,10_2,10_2_U123,U1,Yeah.,Um Maybe it's the diabetes and uh county type.,0,0
124,Heatmap of county type vs diabetes rate  colored by num counties,S,NS,na,na,na,10,2,group10_task2.xlsx,123,10_2,10_2_U124,U2,Uh can we see a map of the combination of county type and diabetes rate?,Yeah.,0,0
125,"Yeah, always the rural.",U2,N,na,na,na,10,2,group10_task2.xlsx,124,10_2,10_2_U125,S,Heatmap of county type vs diabetes rate  colored by num counties,Uh can we see a map of the combination of county type and diabetes rate?,1,1
126,"Even it's versus the number of counties and there's definitely more counties that are rural, so I don't know how to interpret the data.",U1,N,na,na,na,10,2,group10_task2.xlsx,125,10_2,10_2_U126,U2,"Yeah, always the rural.",Heatmap of county type vs diabetes rate  colored by num counties,0,0
127,"Yeah So of course, so but I think that ",U2,N,na,na,na,10,2,group10_task2.xlsx,126,10_2,10_2_U127,U1,"Even it's versus the number of counties and there's definitely more counties that are rural, so I don't know how to interpret the data.","Yeah, always the rural.",0,0
128,Map of county type,S,NS,na,na,na,10,2,group10_task2.xlsx,127,10_2,10_2_U128,U2,"Yeah So of course, so but I think that ","Even it's versus the number of counties and there's definitely more counties that are rural, so I don't know how to interpret the data.",0,0
129,"I think that um the because if you just if we're just counting the counties, of course they're more at risk.",U1,N,na,na,na,10,2,group10_task2.xlsx,128,10_2,10_2_U129,S,Map of county type,"Yeah So of course, so but I think that ",1,1
130,"Yeah, but because there's more rural counties.",U2,N,na,na,na,10,2,group10_task2.xlsx,129,10_2,10_2_U130,U1,"I think that um the because if you just if we're just counting the counties, of course they're more at risk.",Map of county type,0,0
131,Um maybe we should try like I don't know.,U1,N,na,na,na,10,2,group10_task2.xlsx,130,10_2,10_2_U131,U2,"Yeah, but because there's more rural counties.","I think that um the because if you just if we're just counting the counties, of course they're more at risk.",0,0
132,Maybe we can try like um can we see a map of elderly percentage people in Midwest?,U2,Vis,na,na,na,10,2,group10_task2.xlsx,131,10_2,10_2_U132,U1,Um maybe we should try like I don't know.,"Yeah, but because there's more rural counties.",0,0
133,I don't know if it works.,U2,N,na,na,na,10,2,group10_task2.xlsx,132,10_2,10_2_U133,U2,Maybe we can try like um can we see a map of elderly percentage people in Midwest?,Um maybe we should try like I don't know.,0,0
134,"Maybe if we are more focused in a in a region, we can better understand.",U2,Vis,na,na,na,10,2,group10_task2.xlsx,133,10_2,10_2_U134,U2,I don't know if it works.,Maybe we can try like um can we see a map of elderly percentage people in Midwest?,0,0
135,"Yeah, we were talking about the Southeast, so we should focus on the Southeast.",U1,Vis,na,na,na,10,2,group10_task2.xlsx,134,10_2,10_2_U135,U2,"Maybe if we are more focused in a in a region, we can better understand.",I don't know if it works.,0,0
136,Okay.,U2,N,na,na,na,10,2,group10_task2.xlsx,135,10_2,10_2_U136,U1,"Yeah, we were talking about the Southeast, so we should focus on the Southeast.","Maybe if we are more focused in a in a region, we can better understand.",0,0
137,Um Can we see a map of elderly percentage and county type in Southeast?,U2,VR,na,na,na,10,2,group10_task2.xlsx,136,10_2,10_2_U137,U2,Okay.,"Yeah, we were talking about the Southeast, so we should focus on the Southeast.",0,0
138,Map of county type,S,NS,na,na,na,10,2,group10_task2.xlsx,137,10_2,10_2_U138,U2,Um Can we see a map of elderly percentage and county type in Southeast?,Okay.,0,0
139,Uh can we see a map of the combination uh elderly people and county type in the Southeast?,U1,VR,na,na,na,10,2,group10_task2.xlsx,138,10_2,10_2_U139,S,Map of county type,Um Can we see a map of elderly percentage and county type in Southeast?,1,1
140,"No, okay",U2,N,na,na,na,10,2,group10_task2.xlsx,139,10_2,10_2_U140,U1,Uh can we see a map of the combination uh elderly people and county type in the Southeast?,Map of county type,0,0
